Macroporosity,Vugs,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_fit,keq_simulation,Relative_error2
0.38,285,aleatory,grid-23,r2,0.352818,6.75646,0.579441,0.431346,0.596217,3.36273,2.81348,0.195221
0.38,285,aleatory,grid-29,r2,0.379626,24.8036,0.643658,0.619245,0.803586,6.24039,6.95305,0.102495
0.38,285,aleatory,grid-30,r2,0.378562,3.43426,0.571375,0.0824455,0.179877,2.74556,2.94501,0.0677236
0.38,285,aleatory,grid-40,r2,0.377686,2.93936,0.539343,0.01,0.0997809,2.50671,2.30078,0.0895065
0.4,300,aleatory,grid-15,r2,0.34597,4.47031,0.495957,0.312242,0.521565,2.7536,2.52422,0.0908693
0.4,300,aleatory,grid-23,r2,0.371139,6.56738,0.505246,0.372565,0.625411,3.4121,2.90687,0.173806
0.4,300,aleatory,grid-29,r2,0.399695,16.3281,0.401778,0.362314,0.780854,4.88924,4.45606,0.0972119
0.4,300,aleatory,grid-30,r2,0.398552,3.42044,0.554192,0.0699728,0.173589,2.86956,3.28079,0.125345
0.42,315,aleatory,grid-15,r2,0.357057,5.29492,0.542815,0.362902,0.551801,3.08224,2.74764,0.121777
0.42,315,aleatory,grid-23,r2,0.386382,8.05034,0.501286,0.373392,0.648994,3.83666,3.38142,0.13463
0.42,315,aleatory,grid-29,r2,0.419961,27.4997,0.457304,0.433405,0.791034,6.67804,7.10786,0.0604704
0.42,315,aleatory,grid-30,r2,0.418632,3.79867,0.59967,0.0888424,0.187499,3.21157,3.4506,0.0692725
0.44,330,aleatory,grid-15,r2,0.375724,4.87437,0.470882,0.327562,0.574144,3.06786,2.82878,0.0845183
0.44,330,aleatory,grid-23,r2,0.401646,7.72094,0.52131,0.438349,0.688969,4.02708,3.45074,0.167019
0.44,330,aleatory,grid-29,r2,0.440156,36.3636,0.816701,0.790024,0.759935,9.76186,12.7542,0.234617
0.44,330,aleatory,grid-30,r2,0.438637,3.20477,0.542636,0.0499613,0.171415,3.10628,3.66802,0.153147
0.45,338,aleatory,grid-15,r2,0.376945,5.48784,0.532409,0.416023,0.60955,3.3178,2.94009,0.128468
0.45,338,aleatory,grid-23,r2,0.412913,7.17843,0.486405,0.405163,0.672711,3.97477,3.5464,0.120791
0.45,338,aleatory,grid-29,r2,0.450927,44.2145,0.79698,0.773078,0.821187,10.9623,15.4459,0.290277
0.45,338,aleatory,grid-30,r2,0.44943,3.35063,0.580369,0.0644531,0.175799,3.30393,3.9423,0.161928
