Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.02,35,35,aleatory,grid-10,r1,0.0197794,1.90955,0.696032,0.01,0.122644,1.04216,1.90002,0.0190955,0.0380004,0.0424597,79.6644,80.0276,79.3678,0.659853,0.0565125,19.8897,395.6,0.000250383,6.26917e-08
0.02,35,32,aleatory,grid-15,r1,0.0196388,1.90591,0.426034,0.00026211,0.242044,1.03944,2.15523,0.0190591,0.0431046,0.0467425,84.6397,92.0825,79.7908,12.2918,0.0613712,1314.31,1.72741e+06,0.000186247,3.46879e-08
0.02,35,30,aleatory,grid-19,r1,0.0198331,2.24164,0.64412,0.172737,0.344036,1.04467,2.12327,0.0224164,0.0424654,0.0529642,89.2913,108.119,79.4691,28.6498,0.0661104,1919.48,3.68442e+06,0.0058118,3.3777e-05
0.02,35,35,aleatory,grid-20,r1,0.0197961,1.91432,0.573051,0.01,0.121699,1.04177,1.90683,0.0191432,0.0381367,0.0425646,79.6982,80.0479,79.4153,0.632555,0.0565604,21.1202,446.064,0.000284076,8.06989e-08
0.02,35,35,aleatory,grid-30,r1,0.0197757,1.91974,0.520894,0.01,0.108888,1.04172,1.90888,0.0191974,0.0381775,0.0425932,79.6569,79.9565,79.4237,0.532712,0.0565021,16.9487,287.257,0.000294936,8.69872e-08
0.04,70,69,aleatory,grid-10,r1,0.0393592,1.94138,0.586556,0.0234698,0.129739,1.08571,1.90842,0.0194138,0.0381685,0.0429916,80.193,81.0836,79.5017,1.58195,0.0570423,382.275,146134,0.00127519,1.62611e-06
0.04,70,66,aleatory,grid-15,r1,0.0393838,1.94781,0.605448,0.0272624,0.199428,1.08584,2.02581,0.0194781,0.0405162,0.0453871,82.9863,88.0454,79.671,8.37442,0.0596724,1068.52,1.14174e+06,0.0018808,3.53741e-06
0.04,70,64,aleatory,grid-19,r1,0.0396297,2.34628,0.538921,0.115073,0.23232,1.09633,1.96293,0.0234628,0.0392586,0.0521125,87.1984,104.837,79.4491,25.3879,0.0619214,2150.97,4.62668e+06,0.00784253,6.15053e-05
0.04,70,70,aleatory,grid-20,r1,0.0395753,1.91294,0.619225,0.01,0.11834,1.08875,1.90613,0.0191294,0.0381225,0.042558,79.6809,80.0166,79.4115,0.60514,0.0565361,16.883,285.036,0.000249505,6.22526e-08
0.04,70,70,aleatory,grid-30,r1,0.0395421,1.91498,0.531439,0.01,0.113453,1.08574,1.90919,0.0191498,0.0381838,0.0425763,79.6475,79.9676,79.3936,0.573958,0.0564887,17.4542,304.648,0.000270626,7.32384e-08
0.05,87,77,aleatory,grid-10,r1,0.0477469,2.03652,0.497499,0.0532526,0.250926,1.10123,2.13542,0.0203652,0.0427084,0.0468065,85.2841,92.6974,80.2644,12.433,0.062009,1401.25,1.96351e+06,0.0024782,6.14149e-06
0.05,87,82,aleatory,grid-15,r1,0.0489302,2.01832,0.568143,0.0597518,0.18687,1.11153,1.98511,0.0201832,0.0397021,0.0458952,83.3973,87.7521,80.8751,6.87705,0.0596709,1278.13,1.63362e+06,0.00285691,8.16193e-06
0.05,87,78,aleatory,grid-19,r1,0.0492858,2.15213,0.587088,0.109671,0.262466,1.11336,2.1085,0.0215213,0.0421699,0.0510105,87.1544,99.9859,81.3374,18.6485,0.063187,1818.11,3.30552e+06,0.00468566,2.19555e-05
0.05,87,87,aleatory,grid-20,r1,0.0491827,1.91436,0.574632,0.01,0.121441,1.10809,1.91136,0.0191436,0.0382273,0.0426029,79.6778,80.0277,79.395,0.632739,0.0565318,16.5803,274.908,0.000260466,6.78423e-08
0.05,87,87,aleatory,grid-30,r1,0.0491315,1.91354,0.582913,0.01,0.118917,1.10479,1.91026,0.0191354,0.0382053,0.0425351,79.6364,79.9822,79.3568,0.625381,0.056473,17.405,302.935,0.000246568,6.07959e-08
0.06,105,102,aleatory,grid-10,r1,0.0590441,1.95074,0.498694,0.0177155,0.157941,1.12862,1.96317,0.0195074,0.0392634,0.0436149,81.0868,83.236,79.5581,3.67786,0.0578864,666.359,444034,0.00138596,1.92088e-06
0.06,105,93,aleatory,grid-15,r1,0.0587102,2.1092,0.508272,0.0984921,0.250645,1.1334,2.13654,0.021092,0.0427307,0.049705,87.5761,96.9521,82.0917,14.8604,0.0631293,1992.37,3.96952e+06,0.00373828,1.39747e-05
